id,status,commit,environment,actual_result,evidence,notes
CORE-001,not_run,,,,,
CORE-002,not_run,,,,,
CORE-003,not_run,,,,,
CORE-004,not_run,,,,,
CORE-005,not_run,,,,,
CORE-006,not_run,,,,,
CORE-007,not_run,,,,,
CORE-008,not_run,,,,,
CORE-009,not_run,,,,,
CORE-010,not_run,,,,,
CORE-011,not_run,,,,,
CORE-012,not_run,,,,,
CORE-013,not_run,,,,,
CORE-014,not_run,,,,,
CORE-015,not_run,,,,,
CORE-016,not_run,,,,,
CORE-017,not_run,,,,,
CORE-018,not_run,,,,,
CORE-019,not_run,,,,,
CORE-020,not_run,,,,,
CORE-021,not_run,,,,,
CORE-022,not_run,,,,,
CORE-023,not_run,,,,,
CORE-024,not_run,,,,,
CORE-025,not_run,,,,,
CORE-026,not_run,,,,,
CORE-027,not_run,,,,,
CORE-028,not_run,,,,,
CORE-029,not_run,,,,,
CORE-030,not_run,,,,,
GEO-001,not_run,,,,,
GEO-002,not_run,,,,,
GEO-003,not_run,,,,,
GEO-004,not_run,,,,,
GEO-005,not_run,,,,,
GEO-006,not_run,,,,,
GEO-007,not_run,,,,,
GEO-008,not_run,,,,,
GEO-009,not_run,,,,,
GEO-010,not_run,,,,,
GEO-011,not_run,,,,,
GEO-012,not_run,,,,,
GEO-013,not_run,,,,,
GEO-014,not_run,,,,,
GEO-015,not_run,,,,,
GEO-016,not_run,,,,,
GEO-017,not_run,,,,,
GEO-018,not_run,,,,,
GEO-019,not_run,,,,,
GEO-020,not_run,,,,,
GEO-021,not_run,,,,,
GEO-022,not_run,,,,,
GEO-023,not_run,,,,,
GEO-024,not_run,,,,,
GEO-025,not_run,,,,,
GEO-026,not_run,,,,,
GEO-027,not_run,,,,,
GEO-028,not_run,,,,,
GEO-029,not_run,,,,,
GEO-030,not_run,,,,,
COST-001,not_run,,,,,
COST-002,not_run,,,,,
COST-003,not_run,,,,,
COST-004,not_run,,,,,
COST-005,not_run,,,,,
COST-006,not_run,,,,,
COST-007,not_run,,,,,
COST-008,not_run,,,,,
COST-009,not_run,,,,,
COST-010,not_run,,,,,
COST-011,not_run,,,,,
COST-012,not_run,,,,,
COST-013,not_run,,,,,
COST-014,not_run,,,,,
COST-015,not_run,,,,,
COST-016,not_run,,,,,
COST-017,not_run,,,,,
COST-018,not_run,,,,,
COST-019,not_run,,,,,
TPL-001,not_run,,,,,
TPL-002,not_run,,,,,
TPL-003,not_run,,,,,
TPL-004,not_run,,,,,
TPL-005,not_run,,,,,
TPL-006,not_run,,,,,
TPL-007,not_run,,,,,
TPL-008,not_run,,,,,
TPL-009,not_run,,,,,
TPL-010,not_run,,,,,
TPL-011,not_run,,,,,
TPL-012,not_run,,,,,
TPL-013,not_run,,,,,
TPL-014,not_run,,,,,
TPL-015,not_run,,,,,
TPL-016,not_run,,,,,
TPL-017,not_run,,,,,
JOB-001,not_run,,,,,
JOB-002,not_run,,,,,
JOB-003,not_run,,,,,
JOB-004,not_run,,,,,
JOB-005,not_run,,,,,
JOB-006,not_run,,,,,
JOB-007,not_run,,,,,
JOB-008,not_run,,,,,
JOB-009,not_run,,,,,
JOB-010,not_run,,,,,
JOB-011,not_run,,,,,
JOB-012,not_run,,,,,
JOB-013,not_run,,,,,
JOB-014,not_run,,,,,
JOB-015,not_run,,,,,
INT-001,not_run,,,,,
INT-002,not_run,,,,,
INT-003,not_run,,,,,
INT-004,not_run,,,,,
INT-005,not_run,,,,,
INT-006,not_run,,,,,
INT-007,not_run,,,,,
INT-008,not_run,,,,,
INT-009,not_run,,,,,
INT-010,not_run,,,,,
INT-011,not_run,,,,,
INT-012,not_run,,,,,
INT-013,not_run,,,,,
INT-014,not_run,,,,,
INT-015,not_run,,,,,
CAT-001,not_run,,,,,
CAT-002,not_run,,,,,
CAT-003,not_run,,,,,
CAT-004,not_run,,,,,
CAT-005,not_run,,,,,
CAT-006,not_run,,,,,
CAT-007,not_run,,,,,
CAT-008,not_run,,,,,
CAT-009,not_run,,,,,
CAT-010,not_run,,,,,
CAT-011,not_run,,,,,
CAT-012,not_run,,,,,
PRO-001,not_run,,,,,
PRO-002,not_run,,,,,
PRO-003,not_run,,,,,
PRO-004,not_run,,,,,
PRO-005,not_run,,,,,
PRO-006,not_run,,,,,
PRO-007,not_run,,,,,
PRO-008,not_run,,,,,
PRO-009,not_run,,,,,
PRO-010,not_run,,,,,
PRO-011,not_run,,,,,
PRO-012,not_run,,,,,
PRO-013,not_run,,,,,
PRO-014,not_run,,,,,
PRO-015,not_run,,,,,
PRO-016,not_run,,,,,
HEALTH-001,not_run,,,,,
HEALTH-002,not_run,,,,,
HEALTH-003,not_run,,,,,
HEALTH-004,not_run,,,,,
HEALTH-005,not_run,,,,,
HEALTH-006,not_run,,,,,
HEALTH-007,not_run,,,,,
HEALTH-008,not_run,,,,,
HEALTH-009,not_run,,,,,
HEALTH-010,not_run,,,,,
HEALTH-011,not_run,,,,,
HEALTH-012,not_run,,,,,
HEALTH-013,not_run,,,,,
HEALTH-014,not_run,,,,,
HEALTH-015,not_run,,,,,
HEALTH-016,not_run,,,,,
HEALTH-017,not_run,,,,,
DOC-001,not_run,,,,,
DOC-002,not_run,,,,,
DOC-003,not_run,,,,,
DOC-004,not_run,,,,,
DOC-005,not_run,,,,,
DOC-006,not_run,,,,,
DOC-007,not_run,,,,,
DOC-008,not_run,,,,,
DOC-009,not_run,,,,,
DOC-010,not_run,,,,,
DOC-011,not_run,,,,,
DOC-012,not_run,,,,,
ACT-001,not_run,,,,,
ACT-002,not_run,,,,,
ACT-003,not_run,,,,,
ACT-004,not_run,,,,,
ACT-005,not_run,,,,,
ACT-006,not_run,,,,,
ACT-007,not_run,,,,,
ACT-008,not_run,,,,,
ACT-009,not_run,,,,,
ACT-010,not_run,,,,,
ACT-011,not_run,,,,,
ACT-012,not_run,,,,,
ACT-013,not_run,,,,,
ACT-014,not_run,,,,,
ACT-015,not_run,,,,,
ACT-016,not_run,,,,,
LIFE-001,not_run,,,,,
LIFE-002,not_run,,,,,
LIFE-003,not_run,,,,,
LIFE-004,not_run,,,,,
LIFE-005,not_run,,,,,
LIFE-006,not_run,,,,,
LIFE-007,not_run,,,,,
LIFE-008,not_run,,,,,
LIFE-009,not_run,,,,,
LIFE-010,not_run,,,,,
LIFE-011,not_run,,,,,
LIFE-012,not_run,,,,,
LIFE-013,not_run,,,,,
LIFE-014,not_run,,,,,
BACK-001,not_run,,,,,
BACK-002,not_run,,,,,
BACK-003,not_run,,,,,
BACK-004,not_run,,,,,
BACK-005,not_run,,,,,
BACK-006,not_run,,,,,
BACK-007,not_run,,,,,
BACK-008,not_run,,,,,
BACK-009,not_run,,,,,
BACK-010,not_run,,,,,
BACK-011,not_run,,,,,
BACK-012,not_run,,,,,
BACK-013,not_run,,,,,
BACK-014,not_run,,,,,
BACK-015,not_run,,,,,
BACK-016,not_run,,,,,
BACK-017,not_run,,,,,
BACK-018,not_run,,,,,
BACK-019,not_run,,,,,
BACK-020,not_run,,,,,
BACK-021,not_run,,,,,
BACK-022,not_run,,,,,
BACK-023,not_run,,,,,
BACK-024,not_run,,,,,
BACK-025,not_run,,,,,
BACK-026,not_run,,,,,
UX-001,not_run,,,,,
UX-002,not_run,,,,,
UX-003,not_run,,,,,
UX-004,not_run,,,,,
UX-005,not_run,,,,,
UX-006,not_run,,,,,
UX-007,not_run,,,,,
UX-008,not_run,,,,,
UX-009,not_run,,,,,
UX-010,not_run,,,,,
UX-011,not_run,,,,,
UX-012,not_run,,,,,
UX-013,not_run,,,,,
ACCESS-001,not_run,,,,,
ACCESS-002,not_run,,,,,
ACCESS-003,not_run,,,,,
ACCESS-004,not_run,,,,,
ACCESS-005,not_run,,,,,
ACCESS-006,not_run,,,,,
ACCESS-007,not_run,,,,,
ACCESS-008,not_run,,,,,
ACCESS-009,not_run,,,,,
ACCESS-010,not_run,,,,,
ACCESS-011,not_run,,,,,
ACCESS-012,not_run,,,,,
NUM-job-original-brief,not_run,,,,,
NUM-job-homepage,not_run,,,,,
NUM-door-homepage,not_run,,,,,
NUM-loss,not_run,,,,,
NUM-at-target,not_run,,,,,
NUM-unpriced,not_run,,,,,
NUM-no-charge,not_run,,,,,
NUM-rounding-target-boundary,not_run,,,,,
NUM-interior-walls-brief,not_run,,,,,
NUM-interior-with-ceiling,not_run,,,,,
NUM-document-rounding,not_run,,,,,
NUM-pool-same-product,not_run,,,,,
NUM-separate-colors,not_run,,,,,
NUM-exact-purchase-boundaries,not_run,,,,,
NUM-wall-service,not_run,,,,,
NUM-trim-surface,not_run,,,,,
NUM-door-two-faces,not_run,,,,,
NUM-actual-final,not_run,,,,,
NUM-actual-final-loss,not_run,,,,,
NUM-actual-zero-price,not_run,,,,,
BOUND-001,not_run,,,,,
BOUND-002,not_run,,,,,
BOUND-003,not_run,,,,,
BOUND-004,not_run,,,,,
BOUND-005,not_run,,,,,
BOUND-006,not_run,,,,,
BOUND-007,not_run,,,,,
BOUND-008,not_run,,,,,
BOUND-009,not_run,,,,,
BOUND-010,not_run,,,,,
BOUND-011,not_run,,,,,
BOUND-012,not_run,,,,,
BOUND-013,not_run,,,,,
BOUND-014,not_run,,,,,
BOUND-015,not_run,,,,,
BOUND-016,not_run,,,,,
